<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
Meyar Sanat-a,20200715,26164.65,26165,26160,26164.65,782477
Meyar Sanat-a,20200718,27211.03,27211,27211,27065.98,329389
Meyar Sanat-a,20200719,27607.18,27607,27607,27357.09,205957
Meyar Sanat-a,20200720,27903.29,27903,27903,27903.29,520545
Meyar Sanat-a,20200721,28460.49,28460,27346,27718.22,506300
Meyar Sanat-a,20200722,27164.02,27164,27164,27553.16,114016
Meyar Sanat-a,20200725,27002.96,27003,27003,27361.09,126952
Meyar Sanat-a,20200726,26266.69,26267,26267,26478.76,292682
Meyar Sanat-a,20200727,25949.57,25950,25950,25995.59,331557
Meyar Sanat-a,20200728,25476.39,26515,25476,25501.40,402002
Meyar Sanat-a,20200729,25476.39,26010,24992,25158.28,515511
Meyar Sanat-a,20200801,25659.46,25660,24660,25531.41,503185
Meyar Sanat-a,20200802,26040.60,26041,25122,25395.36,218936
Meyar Sanat-a,20200809,25902.55,25903,25903,25410.37,11477
Meyar Sanat-a,20200810,25912.55,25918,24902,24976.21,432113
Meyar Sanat-a,20200811,24479.03,25409,24477,24788.14,172853
Meyar Sanat-a,20200812,24292.96,24788,24293,24701.11,70193
Meyar Sanat-a,20200815,24207.93,24909,24208,24572.06,138677
Meyar Sanat-a,20200816,23589.70,25554,23590,24765.13,806792
Meyar Sanat-a,20200817,25260.31,25260,25260,24891.18,103496
Meyar Sanat-a,20200818,25388.36,25388,25388,25117.26,184298
Meyar Sanat-a,20200819,25619.45,25619,25619,25619.45,421959
Meyar Sanat-a,20200822,26643.82,26644,24596,26635.82,504062
Meyar Sanat-a,20200823,27168.02,27168,27168,26872.91,173613
Meyar Sanat-a,20200824,27410.11,27410,27410,26925.93,38463
Meyar Sanat-a,20200825,27464.13,27464,27464,27464.13,646942
Meyar Sanat-a,20200826,28562.53,28563,28563,28559.53,389459
Meyar Sanat-a,20200831,29129.74,29130,29130,28749.60,116521
Meyar Sanat-a,20200901,29323.81,29324,29324,28791.62,25522
Meyar Sanat-a,20200902,29366.83,29367,29367,28994.69,123967
Meyar Sanat-a,20200905,30154.12,30154,30154,29578.91,173968
Meyar Sanat-a,20200906,30170.12,30170,30170,29619.92,24200
Meyar Sanat-a,20200907,30212.14,30212,29029,30197.13,2347624
Meyar Sanat-a,20200908,30800.36,30800,29594,30166.12,55999
Meyar Sanat-a,20200909,29562.90,29563,29563,30147.12,11115
Meyar Sanat-a,20200912,29544.89,29545,29545,29898.02,137468
Meyar Sanat-a,20200929,28543.52,28544,27973,29886.02,2441
Meyar Sanat-a,20200930,29288.80,29289,29289,29855.01,17200
Meyar Sanat-a,20201003,29258.79,29259,29259,29846.00,5027
Meyar Sanat-a,20201004,29249.78,29250,29250,29844.00,1374
Meyar Sanat-a,20201005,28650.56,28651,28651,29833.00,3135
Meyar Sanat-a,20201007,29226.00,29226,29226,29814.00,4270
Meyar Sanat-a,20201010,29218.00,29218,29218,29807.00,4190
Meyar Sanat-a,20201011,29211.00,29211,29211,29796.00,6402
Meyar Sanat-a,20201013,29201.00,29201,29201,29794.00,891
Meyar Sanat-a,20201014,29199.00,29199,29199,29794.00,172
Meyar Sanat-a,20201018,29199.00,29199,29199,29792.00,1000
Meyar Sanat-a,20201021,29197.00,29197,29197,29791.00,441
Meyar Sanat-a,20201024,29196.00,29196,29196,29770.00,11857
Meyar Sanat-a,20201026,29175.00,29175,29175,29768.00,1344
Meyar Sanat-a,20201027,28578.00,28578,28578,29732.00,10046
Meyar Sanat-a,20201031,29138.00,29138,29138,29718.00,8100
Meyar Sanat-a,20201104,29124.00,29124,29124,29669.00,27491
Meyar Sanat-a,20201107,28483.00,28483,28483,29653.00,4438
Meyar Sanat-a,20201109,29060.00,29060,29060,29515.00,78237
Meyar Sanat-a,20201110,28925.00,28925,28925,29514.00,379
Meyar Sanat-a,20201111,28334.00,28334,28334,29476.00,10864
Meyar Sanat-a,20201116,28887.00,28887,28887,29473.00,1643
Meyar Sanat-a,20201117,28295.00,28295,28295,29408.00,18600
Meyar Sanat-a,20201118,28820.00,28820,28820,29407.00,655
Meyar Sanat-a,20201121,28819.00,28819,28819,29405.00,1300
Meyar Sanat-a,20201122,28817.00,28817,28817,29402.00,1478
Meyar Sanat-a,20201123,28226.00,28226,28226,29400.00,480
Meyar Sanat-a,20201124,28812.00,28812,28812,29194.00,118873
Meyar Sanat-a,20201125,28611.00,28611,28611,29165.00,16937
Meyar Sanat-a,20201128,28582.00,28582,28582,29161.00,2482
Meyar Sanat-a,20201129,27995.00,27995,27995,29062.00,29125
Meyar Sanat-a,20201130,28481.00,28481,28481,29047.00,8621
Meyar Sanat-a,20201201,28467.00,28467,28467,28785.00,154843
Meyar Sanat-a,20201202,28210.00,28210,28210,28523.00,156474
Meyar Sanat-a,20201205,27383.00,28210,27383,27421.00,1418023
Meyar Sanat-a,20201206,26883.00,27900,26875,27304.00,629131
Meyar Sanat-a,20201207,27800.00,27850,27500,27829.00,853020
Meyar Sanat-a,20201208,28330.00,28385,28320,28311.00,306295
Meyar Sanat-a,20201209,28877.00,28877,28877,28797.00,301279
Meyar Sanat-a,20201212,29948.00,29948,29948,29948.00,380971
Meyar Sanat-a,20201213,30546.00,30546,30546,30501.00,321193
Meyar Sanat-a,20201214,31111.00,31111,29891,30838.00,856602
Meyar Sanat-a,20201215,30222.00,31454,30222,31181.00,652237
Meyar Sanat-a,20201216,31804.00,31804,31800,31740.00,311765
Meyar Sanat-a,20201219,32374.00,32374,32374,32183.00,219912
Meyar Sanat-a,20201220,33470.00,33470,33470,33107.00,226078
Meyar Sanat-a,20201221,33769.00,33769,33769,33545.00,208481
Meyar Sanat-a,20201222,34215.00,34215,34215,34048.00,236693
Meyar Sanat-a,20201223,34728.00,34728,34728,34506.00,212305
Meyar Sanat-a,20201226,35886.00,35886,35886,35761.00,263483
Meyar Sanat-a,20201227,36476.00,36476,36375,36476.00,1406685
Meyar Sanat-a,20201228,37205.00,37205,35747,37048.00,1235826
Meyar Sanat-a,20201229,37788.00,37788,36350,37757.00,485029
Meyar Sanat-a,20201230,39267.00,39267,36247,38030.00,2818683
Meyar Sanat-a,20210102,37270.00,37270,37270,37488.00,187621
Meyar Sanat-a,20210103,36739.00,36739,36739,36739.00,286880
Meyar Sanat-a,20210104,36005.00,36005,36005,36005.00,380310
Meyar Sanat-a,20210105,34691.00,37445,34691,36623.00,3201519
Meyar Sanat-a,20210106,37355.00,37355,35891,37309.00,1320226
Meyar Sanat-a,20210109,38040.00,38055,38040,38054.00,293334
Meyar Sanat-a,20210110,38815.00,38815,38815,38208.00,54305
Meyar Sanat-a,20210111,38972.00,38972,37444,38734.00,1218693
Meyar Sanat-a,20210112,39508.00,39508,39508,39508.00,492311
Meyar Sanat-a,20210113,40298.00,40298,40298,40288.00,264540
Meyar Sanat-a,20210116,41898.00,41899,40300,41888.00,1187385
Meyar Sanat-a,20210206,43144.00,43144,40635,42504.00,253769
Meyar Sanat-a,20210207,43779.00,43779,43779,43214.00,265802
Meyar Sanat-a,20210208,44510.00,44510,44510,43458.00,89971
Meyar Sanat-a,20210209,44761.00,44761,43504,44719.00,1072596
Meyar Sanat-a,20210213,45656.00,45656,42931,43025.00,1014005
Meyar Sanat-a,20210214,42165.00,42165,42165,42592.00,224955
Meyar Sanat-a,20210215,41741.00,41741,41741,42295.00,156270
Meyar Sanat-a,20210216,41450.00,41450,41450,41994.00,159230
Meyar Sanat-a,20210217,40315.00,44070,40315,41741.00,3456526
Meyar Sanat-a,20210220,42993.00,42993,40907,42252.00,1927421
Meyar Sanat-a,20210221,43519.00,43519,42463,43335.00,890822
Meyar Sanat-a,20210222,43541.00,44635,43541,44558.00,1751626
Meyar Sanat-a,20210223,46785.00,46785,42776,46353.00,1718820
Meyar Sanat-a,20210224,47743.00,47743,47000,47741.00,1042216
Meyar Sanat-a,20210227,49170.00,49173,47990,49145.00,656354
Meyar Sanat-a,20210228,50200.00,50200,48163,49161.00,119738
Meyar Sanat-a,20210301,48178.00,48178,48178,48710.00,192063
Meyar Sanat-a,20210302,47736.00,47736,47736,48685.00,10676
Meyar Sanat-a,20210303,46738.00,46738,46738,47815.00,187144
Meyar Sanat-a,20210306,46859.00,46859,46859,47454.00,157873
Meyar Sanat-a,20210307,46505.00,46505,46505,47067.00,170450
Meyar Sanat-a,20210308,46126.00,46126,46126,46711.00,158359
Meyar Sanat-a,20210309,44843.00,44843,44843,45826.00,198243
Meyar Sanat-a,20210315,47200.00,47200,44910,46037.00,661298
Meyar Sanat-a,20210316,45117.00,47000,45117,45441.00,964448
Meyar Sanat-a,20210317,44533.00,44533,44533,45222.00,105064
Meyar Sanat-a,20210327,44318.00,44318,44318,44907.00,154274
Meyar Sanat-a,20210328,43111.00,46000,43111,43656.00,1103507
Meyar Sanat-a,20210330,44000.00,44965,43800,44526.00,318139
Meyar Sanat-a,20210331,45861.00,45861,45011,45470.00,313553
Meyar Sanat-a,20210403,46834.00,46834,44561,46361.00,943741
Meyar Sanat-a,20210404,48679.00,48679,47006,48632.00,534318
Meyar Sanat-a,20210405,50000.00,50089,47660,48480.00,1706557
Meyar Sanat-a,20210406,49520.00,49934,48520,49758.00,697199
Meyar Sanat-a,20210407,51250.00,51250,51000,50751.00,292762
Meyar Sanat-a,20210410,52273.00,52273,49810,52026.00,2288817
Meyar Sanat-a,20210411,54627.00,54627,54627,54627.00,490440
Meyar Sanat-a,20210412,56265.00,56265,56265,55480.00,205324
Meyar Sanat-a,20210413,57144.00,57144,54385,56926.00,2660605
Meyar Sanat-a,20210414,57300.00,58500,55788,56504.00,1412411
Meyar Sanat-a,20210417,55374.00,55374,55374,56501.00,993
Meyar Sanat-a,20210418,55371.00,55371,55371,56019.00,150942
Meyar Sanat-a,20210419,53779.00,53779,53779,53779.00,602426
Meyar Sanat-a,20210420,52704.00,55392,52704,54258.00,1080464
Meyar Sanat-a,20210421,55885.00,55885,55885,55885.00,373920
Meyar Sanat-a,20210424,57561.00,57561,57561,57473.00,339114
Meyar Sanat-a,20210426,59197.00,59197,56324,57803.00,3173642
Meyar Sanat-a,20210427,56647.00,57800,56647,56708.00,1771039
Meyar Sanat-a,20210428,57900.00,58409,57300,58336.00,437580
Meyar Sanat-a,20210501,60086.00,60086,60086,59793.00,285385
Meyar Sanat-a,20210502,61586.00,61586,61586,61192.00,267501
Meyar Sanat-a,20210512,62900.00,63027,59969,62292.00,1447463
Meyar Sanat-a,20210515,60424.00,62290,60424,60526.00,1273931
Meyar Sanat-a,20210516,59000.00,62341,58711,60540.00,1221000
Meyar Sanat-a,20210517,58724.00,58724,58724,59492.00,92674
Meyar Sanat-a,20210518,56518.00,56518,56518,56518.00,214123
Meyar Sanat-a,20210519,54823.00,58123,54823,55989.00,872189
Meyar Sanat-a,20210522,57660.00,57668,57660,57667.00,312861
Meyar Sanat-a,20210523,59397.00,59397,55937,57332.00,991002
Meyar Sanat-a,20210524,55613.00,55613,55613,56746.00,60914
Meyar Sanat-a,20210525,55044.00,55044,55044,55465.00,134405
Meyar Sanat-a,20210526,52692.00,57038,52692,53303.00,1940728
Meyar Sanat-a,20210529,53800.00,54153,51704,52027.00,802934
Meyar Sanat-a,20210530,50468.00,51800,50467,50480.00,865773
Meyar Sanat-a,20210531,50480.00,51994,50480,51976.00,775276
Meyar Sanat-a,20210601,53535.00,53535,53535,53535.00,333837
Meyar Sanat-a,20210602,55140.00,55141,51929,54481.00,1523660
Meyar Sanat-a,20210607,56000.00,57205,54006,56958.00,666647
Meyar Sanat-a,20210608,57990.00,58666,55250,56826.00,1783952
Meyar Sanat-a,20210609,55122.00,56500,55122,55157.00,332011
Meyar Sanat-a,20210612,53503.00,53503,53503,53598.00,170846
Meyar Sanat-a,20210613,50919.00,52450,50919,50930.00,1221911
Meyar Sanat-a,20210614,49408.00,52400,49403,49880.00,1190928
Meyar Sanat-a,20210615,51375.00,51376,48384,50642.00,740919
Meyar Sanat-a,20210616,51360.00,51360,49123,49360.00,472943
Meyar Sanat-a,20210619,47880.00,47880,47880,48512.00,116095
Meyar Sanat-a,20210620,47057.00,47057,47057,47771.00,103219
Meyar Sanat-a,20210621,45383.00,45383,45383,45383.00,244589
Meyar Sanat-a,20210622,44022.00,44022,44022,44782.00,89419
Meyar Sanat-a,20210623,43439.00,43439,43439,43598.00,178604
Meyar Sanat-a,20210626,42291.00,42291,42291,42860.00,129508
Meyar Sanat-a,20210627,40717.00,40717,40717,41741.00,119723
Meyar Sanat-a,20210628,40489.00,40489,40489,41449.00,53475
Meyar Sanat-a,20210629,40206.00,40206,40206,41051.00,73439
Meyar Sanat-a,20210630,39820.00,42282,39820,41407.00,2147470
Meyar Sanat-a,20210703,42480.00,42649,41460,42579.00,846610
Meyar Sanat-a,20210704,43800.00,43856,42600,43715.00,853096
Meyar Sanat-a,20210705,44099.00,45026,43975,44939.00,512678
Meyar Sanat-a,20210706,46000.00,46287,46000,46274.00,1340697
Meyar Sanat-a,20210707,46287.00,47600,44886,45467.00,1649277
Meyar Sanat-a,20210710,44203.00,45928,44103,44374.00,1112483
Meyar Sanat-a,20210711,43055.00,45422,43043,43899.00,2226279
Meyar Sanat-a,20210712,42831.00,45380,41711,43761.00,968196
Meyar Sanat-a,20210713,42601.00,44500,42449,43017.00,1226072
Meyar Sanat-a,20210714,42897.00,44299,41727,42848.00,2209619
Meyar Sanat-a,20210717,42848.00,43500,41563,42416.00,1250723
Meyar Sanat-a,20210718,42350.00,42350,41144,41186.00,631045
Meyar Sanat-a,20210719,41880.00,42421,39951,41767.00,1534219
Meyar Sanat-a,20210726,43020.00,43020,42100,42772.00,388845
Meyar Sanat-a,20210727,44000.00,44055,41500,43081.00,691456
Meyar Sanat-a,20210728,43030.00,43040,41789,42190.00,755627
Meyar Sanat-a,20210731,41005.00,43450,40925,42290.00,1099359
Meyar Sanat-a,20210801,41323.00,42800,41022,41454.00,795513
Meyar Sanat-a,20210802,40262.00,42300,40262,41207.00,307378
Meyar Sanat-a,20210803,40300.00,42443,40211,42275.00,646336
Meyar Sanat-a,20210804,41500.00,43448,41368,42727.00,756359
Meyar Sanat-a,20210807,42600.00,43443,41800,42233.00,233993
Meyar Sanat-a,20210808,41628.00,42870,41111,41735.00,372781
Meyar Sanat-a,20210809,41735.00,41735,40483,40755.00,451970
Meyar Sanat-a,20210810,41000.00,41977,40855,41789.00,601899
Meyar Sanat-a,20210811,42700.00,42990,41788,42246.00,453205
Meyar Sanat-a,20210814,41600.00,43513,41480,42606.00,657776
Meyar Sanat-a,20210815,43884.00,43884,43880,43884.00,262930
Meyar Sanat-a,20210822,45200.00,45200,43040,44507.00,924022
Meyar Sanat-a,20210823,44600.00,45842,44507,45731.00,406690
Meyar Sanat-a,20210824,47000.00,47102,45850,46987.00,239341
Meyar Sanat-a,20210825,49300.00,49336,47620,48884.00,949643
Meyar Sanat-a,20210828,50350.00,50350,48511,50082.00,240938
Meyar Sanat-a,20210829,48710.00,51000,48580,49107.00,666666
Meyar Sanat-a,20210830,50000.00,50000,47634,47957.00,263160
